2921,3224,NaN,NaN,NaN,NaN
2921,3224,NaN,NaN,NaN,NaN
3222.6,3224,NaN,NaN,NaN,NaN
2928.8,2957.6,NaN,NaN,NaN,NaN
2959,2959.1,NaN,NaN,NaN,NaN
2965,2966.5,NaN,NaN,NaN,NaN
2985.1,2985.2,NaN,NaN,NaN,NaN
2985.3,2986.6,NaN,NaN,NaN,NaN
2921,2959.1,1,NaN,NaN,NaN
2959.2,2964.9,0,NaN,NaN,NaN
2965,2985.2,1,NaN,NaN,NaN
2985.3,2986.9,2,NaN,NaN,NaN
2986.9,3032.2,1,NaN,NaN,NaN
3032.3,3038.3,0,NaN,NaN,NaN
3038.3,3043.2,1,NaN,NaN,NaN
3043.2,3045.5,0,NaN,NaN,NaN
3045.6,3109.5,1,NaN,NaN,NaN
3109.5,3112,0,NaN,NaN,NaN
3112.1,3145.7,1,NaN,NaN,NaN
3145.7,3152.5,0,NaN,NaN,NaN
3152.5,3163.6,1,NaN,NaN,NaN
3163.7,3165.4,0,NaN,NaN,NaN
3165.4,3222.3,1,NaN,NaN,NaN
3222.4,3224,NaN,NaN,1,NaN
2921,2922.7,NaN,0,NaN,NaN
2922.7,2926,NaN,-1,NaN,NaN
2926,2928.7,NaN,0,NaN,NaN
2928.8,2957.6,NaN,1,NaN,NaN
2957.7,2958.9,NaN,0,NaN,NaN
2959,2966.5,NaN,1,NaN,NaN
2966.5,2979.8,NaN,-1,NaN,NaN
2979.8,2985.1,NaN,0,NaN,NaN
2985.1,2986.6,NaN,1,NaN,NaN
2986.6,2999.1,NaN,-1,NaN,NaN
2999.2,3003.4,NaN,0,NaN,NaN
3003.4,3009.2,NaN,-1,NaN,NaN
3009.2,3011.4,NaN,0,NaN,NaN
3011.4,3023.2,NaN,-1,NaN,NaN
3023.2,3027.9,NaN,0,NaN,NaN
3027.9,3222.6,NaN,-1,NaN,NaN
3222.6,3224,NaN,NaN,NaN,1
