1045,10,364251,372300,8.049
1045,10,1135385,1161268,25.883
1045,10,1202455,1210470,8.015
1045,10,1428714,1454190,25.476
1045,30,282141,322272,40.131
1045,30,803237,843381,40.144
1045,35,520966,561089,40.123
1045,35,1269991,1310114,40.123
1045,40,323605,363665,40.06
1045,40,763352,800938,37.586
1045,40,1165236,1201887,36.651
1045,40,1310980,1357597,46.617
1045,50,376181,453409,0.013
1045,50,649359,722583,0.013
1045,50,1214131,1267678,0.013
1045,71,1066529,1134956,68.427
1045,72,458969,519053,60.084
1045,73,732175,762294,30.119
1045,74,1390747,1428477,37.73
1045,75,250160,280088,29.928
1045,81,562178,599902,37.724
1045,81,844137,881045,36.908
1045,81,1456467,1493911,37.444
