Level,Description,Number,Onset_Time,Offset_Time,Duration_Time,Maternal Affect,Maternal Problem Data,Infant Affect,Infant Problem Data
1,3532m3freeplayajs + 3532m3freeplaykrs,11712,1999,2300,301,,,,
2,3532m3freeplayajs + 3532m3freeplaykrs,11713,1999,2300,301,,,,
3,,11714,2298.64,2300,1.36,,,,
3,,11715,2001.8,2002.76,0.96,,,,
3,,11716,2003.04,2003.52,0.48,,,,
3,,11717,2014,2019.48,5.48,,,,
3,,11718,2041,2051.04,10.04,,,,
3,,11719,2068.72,2072.68,3.96,,,,
3,,11720,2081.08,2094.68,13.6,,,,
3,,11721,2099.4,2105.92,6.52,,,,
3,,11722,2106,2116.12,10.12,,,,
3,,11723,2122.24,2127.8,5.56,,,,
3,,11724,2143,2143.44,0.44,,,,
3,,11725,2143.48,2145.2,1.72,,,,
3,,11726,2145.24,2145.48,0.24,,,,
3,,11727,2145.52,2145.84,0.32,,,,
3,,11728,2155.44,2169.72,14.28,,,,
3,,11729,2173.8,2177,3.2,,,,
3,,11730,2256.84,2259.12,2.28,,,,
3,,11731,2259.16,2267.32,8.16,,,,
3,,11732,2267.36,2268.84,1.48,,,,
3,,11733,2268.88,2284.6,15.72,,,,
3,,11734,2289.12,2296.48,7.36,,,,
3,,11735,1999,2002.76,3.76,1,,,
3,,11736,2002.8,2003,0.2,0,,,
3,,11737,2003.04,2003.52,0.48,1,,,
3,,11738,2003.56,2005.44,1.88,0,,,
3,,11739,2005.48,2009.12,3.64,1,,,
3,,11740,2009.16,2009.64,0.48,0,,,
3,,11741,2009.68,2021.72,12.04,1,,,
3,,11742,2021.76,2022.84,1.08,2,,,
3,,11743,2022.88,2033.2,10.32,1,,,
3,,11744,2033.24,2034.56,1.32,2,,,
3,,11745,2034.6,2045.16,10.56,1,,,
3,,11746,2045.2,2046.76,1.56,2,,,
3,,11747,2046.8,2098,51.2,1,,,
3,,11748,2098.04,2099.36,1.32,0,,,
3,,11749,2099.4,2104.88,5.48,1,,,
3,,11750,2104.92,2105.92,1,2,,,
3,,11751,2106,2142.32,36.32,1,,,
3,,11752,2142.36,2143.44,1.08,2,,,
3,,11753,2143.48,2145.2,1.72,1,,,
3,,11754,2145.24,2145.48,0.24,2,,,
3,,11755,2145.52,2178.56,33.04,1,,,
3,,11756,2178.6,2179.44,0.84,0,,,
3,,11757,2179.48,2180.68,1.2,1,,,
3,,11758,2180.72,2183.28,2.56,0,,,
3,,11759,2183.32,2185.32,2,1,,,
3,,11760,2185.36,2186.4,1.04,0,,,
3,,11761,2186.44,2259.12,72.68,1,,,
3,,11762,2259.16,2261,1.84,2,,,
3,,11763,2261.04,2267.32,6.28,1,,,
3,,11764,2267.36,2268.84,1.48,2,,,
3,,11765,2268.88,2298.48,29.6,1,,,
3,,11766,2298.52,2300,1.48,,XX,,
3,,11767,1999,2001.76,2.76,,,N,
3,,11768,2001.8,2004.76,2.96,,,A,
3,,11769,2004.8,2013.92,9.12,,,N,
3,,11770,2014,2019.48,5.48,,,A,
3,,11771,2019.52,2041,21.48,,,N,
3,,11772,2041.04,2051.04,10,,,A,
3,,11773,2051.08,2068.68,17.6,,,N,
3,,11774,2068.72,2072.68,3.96,,,A,
3,,11775,2072.72,2081.04,8.32,,,N,
3,,11776,2081.08,2094.68,13.6,,,A,
3,,11777,2094.72,2098.68,3.96,,,N,
3,,11778,2098.72,2116.12,17.4,,,A,
3,,11779,2116.16,2122.2,6.04,,,N,
3,,11780,2122.24,2127.8,5.56,,,A,
3,,11781,2127.84,2141.12,13.28,,,N,
3,,11782,2141.16,2143,1.84,,,W,
3,,11783,2143.04,2145.84,2.8,,,A,
3,,11784,2145.88,2155.4,9.52,,,N,
3,,11785,2155.44,2169.72,14.28,,,A,
3,,11786,2169.76,2173.76,4,,,W,
3,,11787,2173.8,2177,3.2,,,A,
3,,11788,2177.04,2196.8,19.76,,,N,
3,,11789,2256.84,2284.6,27.76,,,A,
3,,11790,2284.64,2289.08,4.44,,,N,
3,,11791,2289.12,2296.48,7.36,,,A,
3,,11792,2296.52,2298.6,2.08,,,N,
3,,11793,2298.64,2300,1.36,,,,U
