3096.6,3492.3,NaN,NaN,NaN,NaN
3096.6,3492.3,NaN,NaN,NaN,NaN
3096.6,3148.9,NaN,NaN,0,NaN
3148.9,3165.4,2,NaN,NaN,NaN
3149,3154.5,NaN,NaN,NaN,0
3154.5,3161.5,NaN,0,NaN,NaN
3161.5,3164.6,NaN,1,NaN,NaN
3164.7,3171.5,NaN,0,NaN,NaN
3165.4,3168.1,2,NaN,NaN,NaN
3168.1,3170.1,1,NaN,NaN,NaN
3170.1,3251,2,NaN,NaN,NaN
3171.5,3194.1,NaN,NaN,NaN,0
3194.2,3196.2,NaN,-1,NaN,NaN
3196.2,3235.4,NaN,0,NaN,NaN
3235.4,3240.5,NaN,NaN,NaN,0
3240.6,3253,NaN,-1,NaN,NaN
3251.1,3256.5,1,NaN,NaN,NaN
3253,3262,NaN,1,NaN,NaN
3256.6,3259.4,2,NaN,NaN,NaN
3259.5,3260.8,1,NaN,NaN,NaN
3260.8,3262.2,2,NaN,NaN,NaN
3262,3276.9,NaN,0,NaN,NaN
3262.3,3263.6,1,NaN,NaN,NaN
3263.7,3264.7,2,NaN,NaN,NaN
3264.7,3272.8,1,NaN,NaN,NaN
3272.8,3274.2,2,NaN,NaN,NaN
3274.2,3275.3,1,NaN,NaN,NaN
3275.4,3323,2,NaN,NaN,NaN
3277,3285.6,NaN,NaN,NaN,0
3285.6,3288.9,NaN,-1,NaN,NaN
3288.9,3293.6,NaN,0,NaN,NaN
3293.7,3371.5,NaN,NaN,NaN,0
3323.1,3324.3,4,NaN,NaN,NaN
3324.3,3328.1,2,NaN,NaN,NaN
3329,3330.2,1,NaN,NaN,NaN
3330.3,3332.8,2,NaN,NaN,NaN
3332.8,3333.8,1,NaN,NaN,NaN
3333.9,3351.7,2,NaN,NaN,NaN
3351.7,3356,3,NaN,NaN,NaN
3356.1,3375.3,2,NaN,NaN,NaN
3371.5,3372.7,NaN,0,NaN,NaN
3372.8,3388.6,NaN,-1,NaN,NaN
3375.4,3379.4,1,NaN,NaN,NaN
3379.4,3388.1,2,NaN,NaN,NaN
3388.1,3393.1,1,NaN,NaN,NaN
3388.7,3427.3,NaN,NaN,NaN,0
3393.1,3396.3,2,NaN,NaN,NaN
3396.3,3397,1,NaN,NaN,NaN
3397.1,3400.7,2,NaN,NaN,NaN
3400.7,3402.6,1,NaN,NaN,NaN
3402.6,3431.4,2,NaN,NaN,NaN
3427.4,3452.4,NaN,0,NaN,NaN
3431.5,3437,2,NaN,NaN,NaN
3437,3438.5,1,NaN,NaN,NaN
3438.6,3442.2,2,NaN,NaN,NaN
3442.3,3448.9,1,NaN,NaN,NaN
3449,3450.3,2,NaN,NaN,NaN
3450.3,3452.8,1,NaN,NaN,NaN
3452.4,3464.1,NaN,-1,NaN,NaN
3452.8,3483.1,2,NaN,NaN,NaN
3464.2,3467,NaN,0,NaN,NaN
3467.1,3468.1,NaN,-1,NaN,NaN
3468.1,3471.1,NaN,NaN,NaN,0
3471.2,3489,NaN,-1,NaN,NaN
3483.2,3489.3,1,NaN,NaN,NaN
3489.4,3492.3,NaN,NaN,0,NaN
