1031,10,211780,219821,8.041
1031,10,860321,879701,19.38
1031,10,928106,936121,8.015
1031,10,1669453,1699069,29.616
1031,30,121300,161430,40.13
1031,30,704043,744187,40.144
1031,35,345825,385947,40.122
1031,35,1561849,1571807,9.958
1031,40,162774,211070,48.296
1031,40,658808,699096,40.288
1031,40,882710,927770,45.06
1031,40,1572750,1598141,25.391
1031,50,225448,253625,6.051
1031,50,563502,587588,3.584
1031,50,1521123,1554574,5.684
1031,71,1598141,1669001,70.86
1031,72,283249,343322,60.073
1031,73,829841,859962,30.121
1031,74,620063,657793,37.73
1031,75,88486,118402,29.916
1031,81,386765,425257,38.492
1031,81,744980,784790,39.81
1031,81,1701247,1742475,41.228
